"Content","Contenu"
"Key","Clé"
"Title","Titre"
"Language","Langue"
"General","Général"
"Search Engine","Moteur de recherche"
"Meta Title","Meta titre"
"Meta Description","Meta description"
"Canonical URL","URL canonique"
"Robots","Robots"
"Updated At","Modifié le"
"The key cannot be empty","La clé est obligatoire"
"Disabled","Désactivé"
"Enabled","Activé"
"Status","Statut"
"Post","Article"
"Posts","Articles"
"Author","Auteur"
"Publish Date","Date de publication"
"Intro","Introduction"
"Page","Page"
"Previous","Précédent"
"Next","Suivant"
"Please enter the letters you see","Merci de saisir les lettres affichées"
"Invalid security code","Code de sécurité erroné"
"Post your comment","Publier votre commentaire"
"No comment","Pas de commentaire"
"comment","commentaire"
"Add a comment","Ajouter un commentaire"
"An error occurred when adding comment","Une erreur s'est produite lors de l'ajout du commentaire"
"Your comment was added successfully.","Votre commentaire a été ajouté."
"It will be displayed after validation.","Il sera publié après validation."
"The comment is enabled.","Le commentaire est activé."
"The comment is disabled. A validation is required.","Le commentaire est désactivé. Une validation est nécessaire."