"Coupon:","Coupon :"
"Do you have a coupon?","Vous avez un code promo ?"
"This coupon does not exist","Ce code promo n'existe pas"
"This coupon does not exist or has expired","Ce code promo n'existe pas ou a expiré"
"This coupon is not longer available","Ce code promo n'est plus disponible"
"The coupon has been applied","Le code promo a été appliqué"
"Cart Rules","Règles panier"
"Title","Titre"
"Expire","Expiration"
"Coupon","Coupon"
"Priority","Priorité"
"Stop","Arrêt"
"Settings","Options"
"Expiration date","Date d'expiration"
"Stop Further Rules Processing","Ne pas traiter les règles suivantes (non cumulable)"
"Action","Action"
"Type","Type"
"Coupon required","Coupon nécessaire"
"Coupons","Coupons"
"Rules with higher priority will not be applied","Les règles avec une priorité plus élevée ne seront pas appliquées"
"Without coupon the rule will be automatically applied.","Sans coupon la règle sera automatiquement appliquée."
"Save the rule to enabled or disabled coupon generation.","Enregistrez la règle pour activer ou désactiver la génération de coupons."
"Coupon number","Nombre de coupons"
"Code","Code"
"Used","Usage"
"Limit","Limite"
"Cart - Subtotal Incl. Tax","Panier - Sous-total TTC"
"Cart - Subtotal Excl. Tax","Panier - Sous-total HT"
"Cart - Shipping Method","Panier - Méthode de livraison"
"Cart - Total Weight","Panier - Poids total"
"Cart - Language","Magasin - Langue"
"Product - SKU","Produit - SKU"
"Product - Category ID","Produit - ID catégorie"
"Store - Language","Boutique - Langage"
"Free Gift","Produit offert"
"Cart - Subtotal Incl. Tax with discount (Only works with Shipping Discount rule)","Panier - Sous-total TTC avec remise (Uniquement avec la règle de remise livraison)"
"Cart - Subtotal Excl. Tax with discount (Only works with Shipping Discount rule)","Panier - Sous-total HT avec remise (Uniquement avec la règle de remise livraison)"
"Subtotal Discount (%)","Remise sur le sous-total (%)"
"Shipping Discount (%)","Remise sur la livraison (%)"
"Discount per product (amount)","Remise fixe par produit (montant)"
"Free Gift","Produit offert"
"Free","Offert"