"Catalog","Catalogue"
"Products","Produits"
"Product","Produit"
"Description","Description"
"Sku","Référence"
"Key","Clé"
"Name","Nom"
"Price","Prix"
"Status","Statut"
"Language","Langue"
"Weight","Poids"
"General","Général"
"Search Engine","Moteur de recherche"
"Meta Title","Meta titre"
"Meta Description","Meta description"
"Canonical URL","URL canonique"
"Robots","Robots"
"Updated At","Modifié le"
"Disabled","Désactivé"
"Enabled","Activé"
"The sku cannot be empty","La référence est obligatoire"
"The name cannot be empty","Le nom est obligatoire"
"The key cannot be empty","La clé est obligatoire"