"Menu","Menu"
"Categories","Catégories"
"Category","Catégorie"
"Text","Texte"
"Key","Clé"
"Name","Nom"
"Status","Statut"
"Language","Langue"
"General","Général"
"Search Engine","Moteur de recherche"
"Meta Title","Meta titre"
"Meta Description","Meta description"
"Canonical URL","URL canonique"
"Robots","Robots"
"Updated At","Modifié le"
"Disabled","Désactivé"
"Enabled","Activé"
"The name cannot be empty","Le nom est obligatoire"
"The key cannot be empty","La clé est obligatoire"
"Breadcrumb","Fil d'ariane"
"Show in menu","Afficher dans le menu"
"Style","Style"
"Inline CSS","CSS en ligne"